message;EN;DE;ES;FR
no_movement;None.;Keine.;Ninguna.;Aucune.
right_arm_side;Raise your right arm to your side.;Heben Sie Ihren rechten Arm zu Ihrer Seite an.;Levante su brazo derecho hacia su lado.;Levez votre bras droit vers votre côté.
left_arm_side;Raise your left arm to your side.;Heben Sie Ihren linken Arm zu Ihrer Seite an.;Levante su brazo izquierdo hacia su lado.;Levez votre bras gauche vers votre côté.
right_arm_front;Raise your right arm forward in the direction of your gaze.;Heben Sie Ihren rechten Arm in Blickrichtung vor sich an.;Levante su brazo derecho en la dirección de su mirada frente a usted.;Levez votre bras droit dans la direction de votre regard devant vous.
left_arm_front;Raise your left arm forward in the direction of your gaze.;Heben Sie Ihren linken Arm in Blickrichtung vor sich an.;Levante su brazo izquierdo en la dirección de su mirada frente a usted.;Levez votre bras gauche dans la direction de votre regard devant vous.
right_arm_up;Raise your right arm vertically upwards.;Heben Sie Ihren rechten Arm senkrecht nach oben an.;Levante su brazo derecho verticalmente hacia arriba.;Levez votre bras droit verticalement vers le haut.
left_arm_up;Raise your left arm vertically upwards.;Heben Sie Ihren linken Arm senkrecht nach oben an.;Levante su brazo izquierdo verticalmente hacia arriba.;Levez votre bras gauche verticalement vers le haut.
right_leg_side;Take a small step to the side with your right leg.;"Machen Sie mit Ihrem rechten Bein einen kleinen Schritt zur Seite.<br>";Dé un pequeño paso hacia su lado con la pierna derecha.;Faites un petit pas vers votre côté avec la jambe droite.
left_leg_side;Take a small step to the side with your left leg.;"Machen Sie mit Ihrem linken Bein einen kleinen Schritt zur Seite.<br>";Dé un pequeño paso hacia su lado con la pierna izquierda.;Faites un petit pas vers votre côté avec la jambe gauche.
right_leg_front;Take a small step forward with your right leg.;"Machen Sie mit Ihrem rechten Bein einen kleinen Schritt nach vorne.<br>";Dé un pequeño paso hacia delante con la pierna derecha.;Faites un petit pas vers l’avant avec la jambe droite.
left_leg_front;Take a small step forward with your left leg.;"Machen Sie mit Ihrem linken Bein einen kleinen Schritt nach vorne.<br>";Dé un pequeño paso hacia delante con la pierna izquierda.;Faites un petit pas vers l’avant avec la jambe gauche.
right_leg_back;Take a small step backward with your right leg.;"Machen Sie mit Ihrem rechten Bein einen kleinen Schritt nach hinten.<br>";Dé un pequeño paso hacia atrás con la pierna derecha.;Faites un petit pas vers l’arrière avec la jambe droite.
left_leg_back;Take a small step backward with your left leg.;"Machen Sie mit Ihrem linken Bein einen kleinen Schritt nach hinten.<br>";Dé un pequeño paso hacia atrás con la pierna izquierda;Faites un petit pas vers l’arrière avec la jambe gauche.
torso_right;Turn your upper body to the right.;Drehen Sie Ihren Oberkörper nach rechts.;Gire su parte superior del cuerpo hacia la derecha.;Tournez votre haut du corps vers la droite.
torso_left;Turn your upper body to the left.;Drehen Sie Ihren Oberkörper nach links.;Gire su parte superior del cuerpo hacia la izquierda.;Tournez votre haut du corps vers la gauche.
head_up;Tilt your head upwards.;Neigen Sie Ihren Kopf nach oben.;Incline su cabeza hacia arriba.;Inclinez votre tête vers le haut.
head_down;Tilt your head downwards.;Neigen Sie Ihren Kopf nach unten.;Incline su cabeza hacia abajo.;Inclinez votre tête vers le bas.
fam_solution_msg;The correct answer was:;Die korrekte Antwort war:;La respuesta correcta fue:;La réponse correcte était:
task_instr_msg_1_bimanual;You will now hear an audio instruction in 36 trials, each containing 3 to 7 consecutive movements.<br>IMAGINE what it LOOKS LIKE and how it FEELS to perform these movements YOURSELF.<br>Remain seated calmly, CLOSE YOUR EYES and DO NOT MOVE.<br><br>The length of the audio instruction varies randomly.<br>Each audio instruction BEGINS with imagining an upright, standing position.<br>Change your body position IN YOUR IMAGERY according to the instructed movements.<br><br>OPEN your eyes at the SIGNAL TONE. An image of a person seen from behind will appear.<br>Decide as QUICKLY AND ACCURATELY as possible whether the position of this person<br>matches your final position in your imagery.<br><br>Press the ‘S’ key with your left index finger for NO and the ‘L’ key with your right index finger for YES.;Sie hören nun in 36 Durchgängen je eine Audioinstruktion, die 3 bis 7 aufeinanderfolgende Bewegungen enthält.<br>STELLEN SIE SICH VOR, wie es AUSSIEHT und wie es sich ANFÜHLT, diese Bewegungen SELBST auszuführen.<br>Bleiben Sie dabei ruhig sitzen, SCHLIEßEN SIE IHRE AUGEN und BEWEGEN SIE SICH NICHT.<br><br>Die Länge der Audioinstruktion variiert zufällig.<br>Jede Audioinstruktion BEGINNT mit der Vorstellung einer aufrechten, stehenden Position.<br>Verändern Sie IN IHRER VORSTELLUNG Ihre Körperposition entsprechend den instruierten Bewegungen.<br><br>ÖFFNEN Sie Ihre Augen beim SIGNALTON. Es erscheint ein Bild einer Person von hinten.<br>Entscheiden Sie so SCHNELL UND KORREKT wie möglich,<br>ob die Position dieser Person zu Ihrer Endposition in Ihrer Vorstellung passt.<br><br>Drücken Sie für NEIN die Taste ‚S‘ mit Ihrem linken Zeigefinger und für JA die Taste ‚L‘ mit Ihrem rechten Zeigefinger.;Ahora escuchará en 36 ensayos una instrucción de audio que contiene entre 3 y 7 movimientos consecutivos.<br>IMAGINE cómo SE VE y cómo SE SIENTE realizar estos movimientos USTED MISMO.<br>Permanezca sentado tranquilamente, CIERRE LOS OJOS y NO SE MUEVA.<br><br>La duración de la instrucción de audio varía aleatoriamente.<br>Cada instrucción de audio COMIENZA con la imaginación de una posición erguida, de pie.<br>Modifique la posición de su cuerpo EN SU IMAGINACIÓN de acuerdo con los movimientos instruidos.<br><br>ABRA los ojos al TONO DE SEÑAL. Aparecerá una imagen de una persona vista desde atrás.<br>Decida lo más RÁPIDA Y CORRECTAMENTE posible si la posición de esta persona<br>coincide con su posición final en su imaginación.<br><br>Pulse la tecla ‘S’ con el dedo índice izquierdo para NO y la tecla ‘L’ con el dedo índice derecho para SÍ.;Vous allez maintenant entendre, au cours de 36 essais, une instruction audio contenant 3 à 7 mouvements consécutifs.<br>IMAGINEZ à quoi cela RESSEMBLE et ce que cela FAIT de réaliser VOUS-MÊME ces mouvements.<br>Restez assis calmement, FERMEZ LES YEUX et NE BOUGEZ PAS.<br><br>La durée de l’instruction audio varie aléatoirement.<br>Chaque instruction audio COMMENCE par l’imagerie d’une position debout et droite.<br>Modifiez votre position corporelle DANS VOTRE IMAGERIE en fonction des mouvements instruits.<br><br>OUVREZ les yeux au SIGNAL SONORE. Une image d’une personne vue de dos apparaît.<br>Décidez aussi VITE ET CORRECTEMENT que possible si la position de cette personne<br>correspond à votre position finale dans votre imagerie.<br><br>Appuyez sur la touche « S » avec l’index gauche pour NON et sur la touche « L » avec l’index droit pour OUI.
task_instr_msg_1_left;You will now hear an audio instruction in 36 trials, each containing 3 to 7 consecutive movements.<br>IMAGINE what it LOOKS LIKE and how it FEELS to perform these movements YOURSELF.<br>Remain seated calmly, CLOSE YOUR EYES and DO NOT MOVE.<br><br>The length of the audio instruction varies randomly.<br>Each audio instruction BEGINS with imagining an upright, standing position.<br>Change your body position IN YOUR IMAGERY according to the instructed movements.<br><br>OPEN your eyes at the SIGNAL TONE. An image of a person seen from behind will appear.<br>Decide as QUICKLY AND ACCURATELY as possible whether the position of this person<br>matches your final position in your imagery.<br><br>Press the ‘G’ key with your left middle finger for NO and the ‘H’ key with your left index finger for YES.;Sie hören nun in 36 Durchgängen je eine Audioinstruktion, die 3 bis 7 aufeinanderfolgende Bewegungen enthält.<br>STELLEN SIE SICH VOR, wie es AUSSIEHT und wie es sich ANFÜHLT, diese Bewegungen SELBST auszuführen.<br>Bleiben Sie dabei ruhig sitzen, SCHLIEßEN SIE IHRE AUGEN und BEWEGEN SIE SICH NICHT.<br><br>Die Länge der Audioinstruktion variiert zufällig.<br>Jede Audioinstruktion BEGINNT mit der Vorstellung einer aufrechten, stehenden Position.<br>Verändern Sie IN IHRER VORSTELLUNG Ihre Körperposition entsprechend den instruierten Bewegungen.<br><br>ÖFFNEN Sie Ihre Augen beim SIGNALTON. Es erscheint ein Bild einer Person von hinten.<br>Entscheiden Sie so SCHNELL UND KORREKT wie möglich,<br>ob die Position dieser Person zu Ihrer Endposition in Ihrer Vorstellung passt.<br><br><br>Drücken Sie für NEIN die Taste ‚G‘ mit Ihrem linken Mittelfinger und für JA die Taste ‚H‘ mit Ihrem linken Zeigefinger.;Ahora escuchará en 36 ensayos una instrucción de audio que contiene entre 3 y 7 movimientos consecutivos.<br>IMAGINE cómo SE VE y cómo SE SIENTE realizar estos movimientos USTED MISMO.<br>Permanezca sentado tranquilamente, CIERRE LOS OJOS y NO SE MUEVA.<br><br>La duración de la instrucción de audio varía aleatoriamente.<br>Cada instrucción de audio COMIENZA con la imaginación de una posición erguida, de pie.<br>Modifique la posición de su cuerpo EN SU IMAGINACIÓN de acuerdo con los movimientos instruidos.<br><br>ABRA los ojos al TONO DE SEÑAL. Aparecerá una imagen de una persona vista desde atrás.<br>Decida lo más RÁPIDA Y CORRECTAMENTE posible si la posición de esta persona<br>coincide con su posición final en su imaginación.<br><br>Pulse la tecla ‘G’ con el dedo medio izquierdo para NO y la tecla ‘H’ con el dedo índice izquierdo para SÍ.;Vous allez maintenant entendre, au cours de 36 essais, une instruction audio contenant 3 à 7 mouvements consécutifs.<br>IMAGINEZ à quoi cela RESSEMBLE et ce que cela FAIT de réaliser VOUS-MÊME ces mouvements.<br>Restez assis calmement, FERMEZ LES YEUX et NE BOUGEZ PAS.<br><br>La durée de l’instruction audio varie aléatoirement.<br>Chaque instruction audio COMMENCE par l’imagerie<br>d’une position debout et droite.<br>Modifiez votre position corporelle DANS VOTRE IMAGERIE en fonction des mouvements instruits.<br><br>OUVREZ les yeux au SIGNAL SONORE. Une image d’une personne vue de dos apparaît.<br>Décidez aussi VITE ET CORRECTEMENT que possible si la position de cette personne<br>correspond à votre position finale dans votre imagerie.<br><br>Appuyez sur la touche « G » avec le majeur gauche pour NON et sur la touche « H » avec l’index gauche pour OUI.
task_instr_msg_1_right;You will now hear an audio instruction in 36 trials, each containing 3 to 7 consecutive movements.<br>IMAGINE what it LOOKS LIKE and how it FEELS to perform these movements YOURSELF.<br>Remain seated calmly, CLOSE YOUR EYES and DO NOT MOVE.<br><br>The length of the audio instruction varies randomly.<br>Each audio instruction BEGINS with imagining an upright, standing position.<br>Change your body position IN YOUR IMAGERY according to the instructed movements.<br><br>OPEN your eyes at the SIGNAL TONE. An image of a person seen from behind will appear.<br>Decide as QUICKLY AND ACCURATELY as possible whether the position of this person<br>matches your final position in your imagery.<br><br>Press the ‘G’ key with your right index finger for NO and the ‘H’ key with your right middle finger for YES.;Sie hören nun in 36 Durchgängen je eine Audioinstruktion, die 3 bis 7 aufeinanderfolgende Bewegungen enthält.<br>STELLEN SIE SICH VOR, wie es AUSSIEHT und wie es sich ANFÜHLT, diese Bewegungen SELBST auszuführen.<br>Bleiben Sie dabei ruhig sitzen, SCHLIEßEN SIE IHRE AUGEN und BEWEGEN SIE SICH NICHT.<br><br>Die Länge der Audioinstruktion variiert zufällig.<br>Jede Audioinstruktion BEGINNT mit der Vorstellung einer aufrechten, stehenden Position.<br>Verändern Sie IN IHRER VORSTELLUNG Ihre Körperposition entsprechend den instruierten Bewegungen.<br><br>ÖFFNEN Sie Ihre Augen beim SIGNALTON. Es erscheint ein Bild einer Person von hinten.<br>Entscheiden Sie so SCHNELL UND KORREKT wie möglich,<br>ob die Position dieser Person zu Ihrer Endposition in Ihrer Vorstellung passt.<br><br><br>Drücken Sie für NEIN die Taste ‚G‘ mit Ihrem rechten Zeigefinger und für JA die Taste ‚H‘ mit Ihrem rechten Mittelfinger.;Ahora escuchará en 36 ensayos una instrucción de audio que contiene entre 3 y 7 movimientos consecutivos.<br>IMAGINE cómo SE VE y cómo SE SIENTE realizar estos movimientos USTED MISMO.<br>Permanezca sentado tranquilamente, CIERRE LOS OJOS y NO SE MUEVA.<br><br>La duración de la instrucción de audio varía aleatoriamente.<br>Cada instrucción de audio COMIENZA con la imaginación de una posición erguida, de pie.<br>Modifique la posición de su cuerpo EN SU IMAGINACIÓN de acuerdo con los movimientos instruidos.<br><br>ABRA los ojos al TONO DE SEÑAL. Aparecerá una imagen de una persona vista desde atrás.<br>Decida lo más RÁPIDA Y CORRECTAMENTE posible si la posición de esta persona<br>coincide con su posición final en su imaginación.<br><br>Pulse la tecla ‘G’ con el dedo índice derecho para NO y la tecla ‘H’ con el dedo medio derecho para SÍ.;Vous allez maintenant entendre, au cours de 36 essais, une instruction audio contenant 3 à 7 mouvements consécutifs.<br>IMAGINEZ à quoi cela RESSEMBLE et ce que cela FAIT de réaliser VOUS-MÊME ces mouvements.<br>Restez assis calmement, FERMEZ LES YEUX et NE BOUGEZ PAS.<br><br>La durée de l’instruction audio varie aléatoirement.<br>Chaque instruction audio COMMENCE par l’imagerie<br>d’une position debout et droite.<br>Modifiez votre position corporelle DANS VOTRE IMAGERIE en fonction des mouvements instruits.<br><br>OUVREZ les yeux au SIGNAL SONORE. Une image d’une personne vue de dos apparaît.<br>Décidez aussi VITE ET CORRECTEMENT que possible si la position de cette personne<br>correspond à votre position finale dans votre imagerie.<br><br>Appuyez sur la touche « G » avec l’index droit pour NON et sur la touche « H » avec le majeur droit pour OUI.
task_instr_msg_2a;When making your decision, pay attention to the rotation of the upper body<br>and to the position of the head, arms, and legs.<br><br>Because the movements build on each other, make sure that when you ROTATE YOUR UPPER BODY,<br>your ARMS and your HEAD ROTATE WITH IT. Your LEGS do NOT rotate.;Achten Sie bei Ihrer Entscheidung auf die Drehung des Oberkörpers, die Position des Kopfes,<br>der Arme und Beine.<br><br>Da die Bewegungen aufeinander aufbauen, achten Sie darauf, dass Sie bei DREHUNG IHRES OBERKÖRPERS<br>Ihre ARME und Ihren KOPF MITDREHEN. Ihre BEINE drehen sich dabei NICHT mit.;Al tomar su decisión, preste atención a la rotación del tronco,<br>así como a la posición de la cabeza, los brazos y las piernas.<br><br>Dado que los movimientos se encadenan, asegúrese de que, cuando GIRE EL TRONCO,<br>los BRAZOS y la CABEZA GIREN TAMBIÉN. Las PIERNAS, en cambio, NO giran.;Lors de votre décision, prêtez attention à la rotation du haut du corps ainsi qu’à la position de la tête,<br>des bras et des jambes.<br><br>Étant donné que les mouvements s’enchaînent, veillez à ce que, lorsque vous EFFECTUEZ UNE ROTATION<br>DU HAUT DU CORPS, les BRAS et la TÊTE TOURNENT ÉGALEMENT. Les JAMBES, en revanche, ne tournent PAS.
task_instr_msg_2b;Examples:<br><br><== Tilting the head downward &<br>rotating the upper body to the left.<br><br>Raising the left arm forward in the direction of gaze &<br>rotating the upper body to the left ==>;Beispiele:<br><br><== Neigung des Kopfes nach unten &<br>Drehung des Oberkörpers nach links.<br><br>Anheben des linken Arms in Blickrichtung nach vorne &<br>Drehung des Oberkörpers nach links ==>;Ejemplos:<br><br><== Inclinar la cabeza hacia abajo &<br>girar el tronco hacia la izquierda.<br><br>Elevar el brazo izquierdo hacia delante en la dirección de la mirada &<br>girar el tronco hacia la izquierda ==>;Exemples :<br><br><== Incliner la tête vers le bas &<br>faire pivoter le haut du corps vers la gauche.<br><br>Lever le bras gauche vers l’avant dans la direction du regard &<br>faire pivoter le haut du corps vers la gauche ==>
task_instr_msg_2c;Additionally, use the orange CROSS ON THE FLOOR AS A REFERENCE to decide<br>whether the position of the legs of the person in the image is correct.;"Nutzen Sie außerdem das orange KREUZ AM BODEN ALS ORIENTIERUNG, um zu entscheiden,<br>ob die Position der Beine bei der Person im Bild korrekt ist.<br>";Además, utilice la CRUZ NARANJA EN EL SUELO COMO REFERENCIA para decidir<br>si la posición de las piernas de la persona en la imagen es correcta.;Utilisez également la CROIX ORANGE AU SOL COMME REPÈRE afin de décider<br>si la position des jambes de la personne sur l’image est correcte.
CC_instr_msg_1;Please select all statements that apply:;Bitte wählen Sie Zutreffendes aus:;Por favor, seleccione todas las afirmaciones que correspondan:;Veuillez sélectionner toutes les affirmations qui s’appliquent :
CC_instr_msg_2;In the following task…;Bei der folgenden Aufgabe…;En la siguiente tarea…;Dans la tâche suivante…
CC_option_A;you are supposed to actually perform the instructed movements.;"sollen Sie die instruierten Bewegungen tatsächlich ausführen.<br>";se supone que debe ejecutar realmente los movimientos instruidos.;vous êtes censé(e) exécuter réellement les mouvements instruits.
CC_option_B;you are supposed to imagine how the person in the picture performs the movements.;"sollen Sie sich vorstellen, wie die Person auf dem Bild die Bewegungen ausführt.<br>";se supone que debe imaginar cómo la persona en la imagen realiza los movimientos.;vous êtes censé(e) imaginer comment la personne sur l’image exécute les mouvements.
CC_option_C;you are supposed to imagine how it looks and how it feels to perform the movements from the audio instruction yourself.;"sollen Sie sich vorstellen, wie es aussieht und wie es sich anfühlt, die Bewegungen aus der Audioinstruktion selbst auszuführen.<br>";se supone que debe imaginar cómo se ve y cómo se siente realizar usted mismo los movimientos de la instrucción auditiva.;vous êtes censé(e) imaginer à quoi cela ressemble et ce que l’on ressent lorsque vous exécutez vous-même les mouvements issus de l’instruction audio.
CC_option_D;the imagined movements build on each other within a single trial.;bauen die vorgestellten Bewegungen innerhalb eines Durchgangs aufeinander auf.;los movimientos imaginados se construyen unos sobre otros dentro de un mismo ensayo.;les mouvements imaginés s’enchaînent les uns aux autres au sein d’un même essai.
CC_option_E;it is unimportant how quickly you decide whether the picture matches your final position in your imagery.;"ist es unwichtig, wie schnell Sie sich entscheiden, ob das Bild zu Ihrer Endposition in Ihrer Vorstellung passt.<br>";no es importante cuán rápido decida si la imagen coincide con su posición final en su imaginación.;il est sans importance à quelle vitesse vous décidez si l’image correspond à votre position finale dans votre imagerie.
CC_option_F;keep your eyes closed during each trial until you hear a signal tone.;"halten Sie Ihre Augen in jedem Durchgang solange geschlossen, bis Sie einen Signalton hören.<br>";mantenga los ojos cerrados durante cada ensayo hasta que escuche una señal sonora.;gardez les yeux fermés pendant chaque essai jusqu’à ce que vous entendiez un signal sonore.
CC_error;Unfortunately, your answers were not completely correct.<br>Please read the instructions carefully again.;Leider waren Ihre Antworten nicht vollständig korrekt.<br>Bitte lesen Sie die Instruktionen erneut und aufmerksam durch.;Lamentablemente, sus respuestas no fueron completamente correctas.<br>Por favor, lea las instrucciones de nuevo atentamente.;Malheureusement, vos réponses n’étaient pas entièrement correctes.<br>Veuillez relire attentivement les instructions.
feedback_correct_msg;CORRECT response;KORREKTE Antwort;Respuesta CORRECTA;Réponse CORRECTE
feedback_incorrect_msg;INCORRECT response;FEHLER;Respuesta INCORRECTA;Réponse INCORRECTE
pract_instr_msg;There will now be 4 practice trials.;Es folgen nun 4 Übungsdurchgänge.;A continuación habrá 4 ensayos de práctica.;Il va maintenant y avoir 4 essais d’entraînement.
task_instr_msg_3_bimanual;Now place your index fingers on the ‘S’ and ‘L’ keys.<br><br>Keep your fingers resting on these keys until you have completed all trials of the task.<br><br>When you are ready, press the space bar with your thumb.;Positionieren Sie Ihre Zeigefinger nun auf den Tasten ‚S‘ und ‚L‘ .<br><br>Lassen Sie Ihre Finger auf diesen Tasten ruhen, bis Sie alle Durchgänge der Aufgabe absolviert haben.<br><br>Wenn Sie bereit sind, drücken Sie mit Ihrem Daumen die Leertaste.;Coloque ahora sus dedos índices sobre las teclas “S” y “L”.<br><br>Mantenga los dedos apoyados sobre estas teclas hasta que haya completado todos los ensayos de la tarea.<br><br>Cuando esté listo/a, presione la barra espaciadora con el pulgar.;Placez maintenant vos index sur les touches « S » et « L ».<br><br>Laissez vos doigts reposer sur ces touches jusqu’à ce que vous ayez terminé tous les essais de la tâche.<br><br>Lorsque vous êtes prêt(e), appuyez sur la barre d’espace avec votre pouce.
task_instr_msg_3_left;Now place the index and middle fingers of your left hand on the ‘G’ and ‘H’ keys.<br><br>Keep your fingers resting on these keys until you have completed all trials of the task.<br><br>When you are ready, press the space bar with your thumb.;Positionieren Sie Mittel- und Zeigefinger Ihrer linken Hand nun auf den Tasten ‚G‘ und ‚H‘ .<br><br>Lassen Sie Ihre Finger auf diesen Tasten ruhen, bis Sie alle Durchgänge der Aufgabe absolviert haben.<br><br>Wenn Sie bereit sind, drücken Sie mit Ihrem Daumen die Leertaste.;Coloque ahora el dedo índice y el dedo medio de su mano izquierda sobre las teclas “G” y “H”.<br><br>Mantenga los dedos apoyados sobre estas teclas hasta que haya completado todos los ensayos de la tarea.<br><br>Cuando esté listo/a, presione la barra espaciadora con el pulgar.;Placez maintenant l’index et le majeur de votre main gauche sur les touches « G » et « H ».<br><br>Laissez vos doigts reposer sur ces touches jusqu’à ce que vous ayez terminé tous les essais de la tâche.<br><br>Lorsque vous êtes prêt(e), appuyez sur la barre d’espace avec votre pouce.
task_instr_msg_3_right;Now place the index and middle fingers of your right hand on the ‘G’ and ‘H’ keys.<br><br>Keep your fingers resting on these keys until you have completed all trials of the task.<br><br>When you are ready, press the space bar with your thumb.;Positionieren Sie Zeige- und Mittelfinger Ihrer rechten Hand nun auf den Tasten ‚G‘ und ‚H‘ .<br><br>Lassen Sie Ihre Finger auf diesen Tasten ruhen, bis Sie alle Durchgänge der Aufgabe absolviert haben.<br><br>Wenn Sie bereit sind, drücken Sie mit Ihrem Daumen die Leertaste.;Coloque ahora el dedo índice y el dedo medio de su mano derecha sobre las teclas “G” y “H”.<br><br>Mantenga los dedos apoyados sobre estas teclas hasta que haya completado todos los ensayos de la tarea.<br><br>Cuando esté listo/a, presione la barra espaciadora con el pulgar.;Placez maintenant l’index et le majeur de votre main droite sur les touches « G » et « H ».<br><br>Laissez vos doigts reposer sur ces touches jusqu’à ce que vous ayez terminé tous les essais de la tâche.<br><br>Lorsque vous êtes prêt(e), appuyez sur la barre d’espace avec votre pouce.
testbl_instr_msg;There will now be 32 trials in which we will measure your data.<br><br>Each one counts!;Es folgen nun 32 Durchgänge, in denen wir Ihre Daten messen möchten.<br><br>Jeder davon zählt!;A continuación habrá 32 ensayos en los que mediremos sus datos.<br>¡Cada uno cuenta!;Il va maintenant y avoir 32 essais au cours desquels nous souhaitons mesurer vos données.<br><br>Chacun d’entre eux compte !
no_feedback_msg;You will now receive no further feedback.;Sie werden nun keine Rückmeldungen mehr erhalten.;A partir de ahora no recibirá más retroalimentación.;Vous ne recevrez désormais plus aucun retour.
reminder_msg;Reminder:<br><br>Imagine WHAT IT LOOKS LIKE and HOW IT FEELS to perform the movements<br>described in the audio instruction yourself.<br><br>Open your eyes when you hear the signal tone. Decide as QUICKLY AND ACCURATELY as possible<br>whether the displayed image matches the final position in your imagery.;Erinnerung:<br><br>Stellen Sie sich vor, WIE ES AUSSIEHT und WIE ES SICH ANFÜHLT,<br>die in der Audioinstruktion beschriebenen Bewegungen selbst auszuführen.<br><br>Öffnen Sie Ihre Augen beim Signalton. Entscheiden Sie so SCHNELL UND KORREKT wie möglich,<br>ob das gezeigte Bild zu der Endposition in Ihrer Vorstellung passt.;Recordatorio:<br><br>Imagine CÓMO SE VE y CÓMO SE SIENTE ejecutar usted mismo/a los movimientos<br>descritos en la instrucción auditiva.<br><br>Abra los ojos cuando escuche la señal sonora. Decida lo más RÁPIDA Y CORRECTAMENTE posible<br>si la imagen mostrada coincide con la posición final en su imagery.;Rappel :<br><br>Imaginez À QUOI CELA RESSEMBLE et CE QUE L’ON RESSENT en exécutant vous-même les mouvements décrits dans l’instruction audio.<br><br>Ouvrez les yeux lorsque vous entendez le signal sonore. Décidez aussi RAPIDEMENT ET CORRECTEMENT que possible<br>si l’image affichée correspond à la position finale dans votre imagerie.
close_eyes_msg;Close your eyes!;Schließen Sie Ihre Augen!;¡Cierre los ojos!;Fermez les yeux !
yes_msg;yes;ja;sí;oui
no_msg;no;nein;no;non
start_msg;press SPACE to start trial;Durchgang starten mit LEERTASTE;pulse la BARRA ESPACIADORA para iniciar el ensayo;appuyez sur la BARRE D’ESPACE pour démarrer l’essai
demographics_msg;Please fill out this information about yourself.;Bitte füllen Sie diese Informationen über sich selbst aus.;Por favor completa esta información sobre ti.;Veuillez remplir ces informations vous concernant.
age_msg;Age:;Alter:;Edad:;Âge :
gender_msg;Gender:;Geschlecht:;Género;Genre :
f_msg;Female;Weiblich;Mujer;Femme
m_msg;Male;Männlich;Hombre;Homme
tg_msg;Trans-gender;Transgender;Transgénero;Transgenre
nb_msg;Non-binary;Nicht-binär;No binario;Non binaire
o_msg;Other;Sonstiges;Otro;Autre
pns_msg;Prefer not saying;Möchte ich nicht sagen;Prefiero no decirlo;Préfère ne pas le dire
laterality_msg;Hand dominance:;Handdominanz:;Mano dominante:;Dominance manuelle :
left_msg;Left;Links;Izquierda;Gauche
ambi_msg;Ambidextrous;Beidhändig;Ambidiestro/a;Ambidextre
right_msg;Right;Rechts;Derecha;Droite
next_msg;Next;Weiter;Siguiente;Suivant
